City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Guantanamo,CU,2022-02-01 16:28:59,20.1444,-75.2092,81.97,51,31,10.98
68,Ponta Do Sol,PT,2022-02-01 16:29:00,32.6667,-17.1,76.12,27,10,14.34
69,Chauk,MM,2022-02-01 16:29:00,20.8833,94.8167,65.82,33,12,4.99
70,Arraial Do Cabo,BR,2022-02-01 16:28:55,-22.9661,-42.0278,85.96,74,75,12.66
71,Gummidipundi,IN,2022-02-01 16:29:00,13.4,80.15,78.98,66,0,6.73
72,Mahebourg,MU,2022-02-01 16:28:46,-20.4081,57.7,80.26,94,75,19.57
73,Otacilio Costa,BR,2022-02-01 16:29:01,-27.4831,-50.1219,86.76,31,6,1.92
74,Vila Franca Do Campo,PT,2022-02-01 16:29:01,37.7167,-25.4333,66.2,68,56,12.59
75,Qaqortoq,GL,2022-02-01 16:29:01,60.7167,-46.0333,19.9,90,62,3.69
76,Saldanha,ZA,2022-02-01 16:29:02,-33.0117,17.9442,75.25,82,19,11.03
77,Aklavik,CA,2022-02-01 16:29:02,68.2191,-135.0107,-10.37,76,75,2.3
78,Thompson,CA,2022-02-01 16:29:02,55.7435,-97.8558,-20.04,69,75,13.8
79,Araouane,ML,2022-02-01 16:29:03,18.9048,-3.5265,83.68,7,46,15.59
80,Sao Gabriel Da Cachoeira,BR,2022-02-01 16:29:03,-0.1303,-67.0892,89.4,62,40,4.61
81,Barra Do Garcas,BR,2022-02-01 16:29:03,-15.89,-52.2567,79.05,79,100,4.56
82,Rizhao,CN,2022-02-01 16:29:04,35.4275,119.4553,30.13,47,97,2.98
83,Torbay,CA,2022-02-01 16:29:04,47.6666,-52.7314,28.27,54,40,21.85
84,Gorontalo,ID,2022-02-01 16:29:04,0.5412,123.0595,73.62,95,85,4.14
85,Atar,MR,2022-02-01 16:29:05,20.5169,-13.0499,90.7,7,85,16.87
86,Cherskiy,RU,2022-02-01 16:26:27,68.75,161.3,-6.07,81,100,1.72
87,La Ronge,CA,2022-02-01 16:29:05,55.1001,-105.2842,-14.55,70,0,9.22
88,White Settlement,US,2022-02-01 16:28:50,32.7596,-97.4584,63.39,82,100,1.01
89,Namatanai,PG,2022-02-01 16:29:05,-3.6667,152.4333,77.58,86,90,5.68
90,Matata,NZ,2022-02-01 16:29:06,-37.8833,176.75,70.59,89,95,10.65
91,Tuktoyaktuk,CA,2022-02-01 16:30:06,69.4541,-133.0374,-23.8,76,0,2.3
92,New Norfolk,AU,2022-02-01 16:26:52,-42.7826,147.0587,51.71,53,51,1.99
93,Bandarbeyla,SO,2022-02-01 16:30:07,9.4942,50.8122,76.96,80,82,16.62
94,Severo-Kurilsk,RU,2022-02-01 16:30:08,50.6789,156.125,24.82,78,37,8.21
95,North Bend,US,2022-02-01 16:30:09,43.4065,-124.2243,35.92,93,75,5.75
96,Payo,ID,2022-02-01 16:30:10,-3.7508,103.6372,72.86,99,100,1.97
97,Esmeraldas,BR,2022-02-01 16:30:11,-19.7625,-44.3139,85.24,77,97,5.95
98,Aleksandrov Gay,RU,2022-02-01 16:30:11,50.147,48.5704,27.81,93,100,10.36
99,Kavieng,PG,2022-02-01 16:30:12,-2.5744,150.7967,77.59,87,100,8.72
100,Srednekolymsk,RU,2022-02-01 16:30:13,67.45,153.6833,-22.09,97,100,4.63
101,Port Elizabeth,ZA,2022-02-01 16:30:13,-33.918,25.5701,81.1,69,20,4.61
102,Linares,CL,2022-02-01 16:30:13,-35.85,-71.6,88.03,16,33,5.08
103,Moron,AR,2022-02-01 16:30:13,-34.6534,-58.6198,82.02,45,0,5.01
104,Hithadhoo,MV,2022-02-01 16:30:14,-0.6,73.0833,82.92,72,14,13.71
105,Carnarvon,AU,2022-02-01 16:30:14,-24.8667,113.6333,77.07,83,43,20.71
106,Fortuna,US,2022-02-01 16:30:14,40.5982,-124.1573,38.32,82,0,8.05
107,Buin,CL,2022-02-01 16:30:15,-33.7333,-70.75,82.06,23,100,9.6
108,Road Town,VG,2022-02-01 16:25:42,18.4167,-64.6167,82.44,69,40,6.91
109,Chuy,UY,2022-02-01 16:30:15,-33.6971,-53.4616,75.79,38,0,5.46
110,Aginskoye,RU,2022-02-01 16:30:16,51.1,114.53,-13.95,95,10,5.97
111,Aswan,EG,2022-02-01 16:30:16,24.0934,32.907,67.3,37,0,5.75
112,Manggar,ID,2022-02-01 16:30:16,-2.8833,108.2667,78.3,82,90,5.99
113,College,US,2022-02-01 16:30:17,64.8569,-147.8028,-0.74,73,0,4.61
114,Kaoma,ZM,2022-02-01 16:30:17,-14.7833,24.8,67.21,89,25,3.0
115,Vakhrushev,RU,2022-02-01 16:30:17,48.9833,142.9667,3.4,90,81,6.53
116,Sioux Lookout,CA,2022-02-01 16:30:18,50.1001,-91.917,24.87,86,100,11.5
117,Dalbandin,PK,2022-02-01 16:30:18,28.8947,64.4101,61.21,23,0,2.39
118,Haines Junction,CA,2022-02-01 16:30:18,60.7522,-137.5108,-41.85,66,90,0.0
119,Smithers,CA,2022-02-01 16:30:10,54.7804,-127.1743,17.92,86,75,0.0
120,Shirokiy,RU,2022-02-01 16:30:19,49.758,129.523,-15.47,99,23,5.68
121,Yerofey Pavlovich,RU,2022-02-01 16:30:19,53.9667,121.9667,-11.94,95,91,3.53
122,Port Lincoln,AU,2022-02-01 16:30:19,-34.7333,135.8667,60.01,59,2,17.94
123,Hobart,AU,2022-02-01 16:30:19,-42.8794,147.3294,52.05,59,45,1.01
124,Kutum,SD,2022-02-01 16:30:20,14.2,24.6667,64.69,18,0,10.16
125,Emmen,NL,2022-02-01 16:30:20,52.7792,6.9069,48.27,90,100,8.99
126,Lagoa,PT,2022-02-01 16:30:21,39.05,-27.9833,59.07,78,24,17.85
127,Saskylakh,RU,2022-02-01 16:30:21,71.9167,114.0833,-28.19,100,52,1.61
128,Bubaque,GW,2022-02-01 16:30:21,11.2833,-15.8333,79.43,72,15,12.55
129,Luderitz,NA,2022-02-01 16:30:22,-26.6481,15.1594,67.96,82,43,9.4
130,Wenling,CN,2022-02-01 16:30:22,28.3669,121.36,40.91,94,100,11.88
131,Prince Rupert,CA,2022-02-01 16:29:01,54.3161,-130.3201,37.09,93,75,4.61
132,Chokurdakh,RU,2022-02-01 16:30:23,70.6333,147.9167,-19.52,97,100,1.23
133,Tuensang,IN,2022-02-01 16:30:23,26.2833,94.8333,48.67,98,96,1.1
134,Assare,BR,2022-02-01 16:30:23,-6.8744,-39.875,94.69,26,17,8.52
135,Castro,BR,2022-02-01 16:30:23,-24.7911,-50.0119,78.31,60,35,0.69
136,Kvitok,RU,2022-02-01 16:30:24,56.0724,98.4813,0.03,98,94,2.1
137,Quatre Cocos,MU,2022-02-01 16:30:24,-20.2078,57.7625,79.09,90,100,27.85
138,Livingston,GB,2022-02-01 16:28:52,55.9029,-3.5226,48.79,61,40,20.71
139,Khatanga,RU,2022-02-01 16:31:25,71.9667,102.5,-34.91,100,20,3.51
140,Wamba,NG,2022-02-01 16:31:25,8.9333,8.6,87.24,11,1,4.61
141,Arlit,NE,2022-02-01 16:31:25,18.7369,7.3853,70.74,8,0,5.06
142,Mayo,US,2022-02-01 16:31:26,38.8876,-76.5119,40.08,63,0,3.0
143,Kruisfontein,ZA,2022-02-01 16:31:26,-34.0033,24.7314,78.89,69,33,7.78
144,Marawi,PH,2022-02-01 16:31:26,7.9986,124.2928,67.64,95,100,1.32
