City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
515,Marsabit,KE,76.64,overcast clouds,2.3284,37.9899,Chicho Hotel
520,Bandarbeyla,SO,75.94,clear sky,9.4942,50.8122,JABIR HOTEL
540,Dibulla,CO,89.62,scattered clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
544,Phuket,TH,77.22,few clouds,8.0,98.25,The Surin
545,Tiarei,PF,84.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
546,Amahai,ID,77.54,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
550,Dhidhdhoo,MV,80.62,clear sky,6.8833,73.1,Dhidhoo beach
552,Tecoanapa,MX,81.12,clear sky,16.5167,-98.75,Hotel Manglares
557,Kuala Terengganu,MY,80.55,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
558,Tual,ID,82.15,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
560,Birao,CF,78.28,clear sky,10.2849,22.7882,
562,Berbera,SO,76.21,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
563,Road Town,VG,82.44,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
565,Black River,JM,82.98,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
566,Wamba,NG,77.81,few clouds,8.9333,8.6,Roma Zee Guest House Annex
575,Acarau,BR,84.38,broken clouds,-2.8856,-40.12,castelo pizzaria
577,Lindi,TZ,76.21,moderate rain,-10.0,39.7167,Lindi paradise house
579,Monrovia,LR,87.57,broken clouds,6.3005,-10.7969,Sunset Inn
580,Puerto Quijarro,BO,83.23,moderate rain,-17.7833,-57.7667,Hotel palance
586,Paso De Los Toros,UY,88.63,overcast clouds,-32.8167,-56.5167,Complejo Isabelino
588,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
590,Sapa,PH,78.87,overcast clouds,5.1544,120.3241,
593,Novo Aripuana,BR,88.02,broken clouds,-5.1206,-60.3797,Hotel Ezequiel
604,Santa Maria,BR,81.7,thunderstorm,-29.6842,-53.8069,Hotel Morotin
606,Morondava,MG,82.4,light rain,-20.2833,44.2833,La Case Bambou
608,Talara,PE,86.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
609,Maningrida,AU,77.83,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
615,Kloulklubed,PW,82.96,broken clouds,7.0419,134.2556,Storyboard Beach Resort
617,Angoche,MZ,79.3,broken clouds,-16.2325,39.9086,Guest House HESADA
621,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
624,Ondjiva,AO,81.95,overcast clouds,-17.0667,15.7333,COMBUESA
625,Vertientes,CU,84.81,overcast clouds,21.2594,-78.1464,
627,Alyangula,AU,84.07,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
631,Gwanda,ZW,77.56,clear sky,-20.9333,29.0,Mafax Homeways
632,Samarai,PG,79.77,overcast clouds,-10.6167,150.6667,Nuli Sapi
633,Novita,CO,81.37,broken clouds,4.9551,-76.6053,B/ Buenos Aires Sector Las Curvitas
635,Hato Mayor,DO,81.91,broken clouds,18.7629,-69.256,Aparta Hotel Don Olivo
638,Hobyo,SO,77.56,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
640,Pontes E Lacerda,BR,82.27,scattered clouds,-15.2261,-59.3353,Hotel Bressan
642,Cacoal,BR,75.81,overcast clouds,-11.4386,-61.4472,Hotel BR 364
643,Kieta,PG,77.52,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
644,Humaita,BR,80.06,moderate rain,-7.5061,-63.0208,Corrêa Hotel
652,Auki,SB,77.47,overcast clouds,-8.7676,160.7034,Auki Motel
679,Fonte Boa,BR,83.52,overcast clouds,-2.4959,-66.2662,
683,Save,BJ,87.71,clear sky,8.0425,2.486,Le Cercle du Rail
684,Kampot,KH,78.85,few clouds,10.6167,104.1833,Two Moons Hotel
685,Soyo,AO,80.65,broken clouds,-6.1349,12.3689,Hotel Mpampa
688,Machali,CL,83.88,broken clouds,-34.1833,-70.6667,Mining House
690,Paraibano,BR,88.45,overcast clouds,-6.4331,-43.9836,Casa Pedrosa
692,Innisfail,AU,76.14,moderate rain,-17.5333,146.0333,Moondarra Motel
693,Upata,VE,85.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
