City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Tieling,CN,42.2931,123.8414,9.75,57,0,7.23,clear sky
81,Sao Mateus,BR,-18.7161,-39.8589,80.55,82,94,5.1,overcast clouds
82,Wainwright,CA,52.839,-110.8572,-7.69,92,100,11.43,overcast clouds
83,Padang,ID,-0.9492,100.3543,75.25,92,100,2.64,overcast clouds
84,Kinkala,CG,-4.3614,14.7644,79.11,97,96,3.0,light rain
85,Praxedis Guerrero,MX,31.3667,-106.0167,30.29,62,99,9.91,overcast clouds
86,Alta Floresta,BR,-9.8756,-56.0861,89.42,58,40,4.61,scattered clouds
87,Jurado,CO,7.1053,-77.7641,82.42,71,53,6.49,broken clouds
88,Novyy Urengoy,RU,66.0833,76.6333,7.66,96,100,3.89,overcast clouds
89,Boulder City,US,35.9786,-114.8325,45.75,16,0,13.8,clear sky
90,Thompson,CA,55.7435,-97.8558,-16.44,63,40,8.05,scattered clouds
91,Fasa,IR,28.9383,53.6482,42.04,70,0,4.61,clear sky
92,Los Llanos De Aridane,ES,28.6585,-17.9182,67.12,75,20,2.3,few clouds
93,Kastamonu,TR,41.5,33.6667,34.16,98,100,4.03,snow
94,Coruripe,BR,-10.1256,-36.1756,85.17,56,100,13.09,light rain
95,Poum,NC,-20.2333,164.0167,81.32,83,98,13.67,overcast clouds
96,Nome,US,64.5011,-165.4064,5.16,57,0,33.38,clear sky
97,Tateyama,JP,34.9833,139.8667,42.1,56,100,12.71,overcast clouds
98,Camana,PE,-16.6228,-72.7111,75.13,70,73,9.95,broken clouds
99,East London,ZA,-33.0153,27.9116,68.94,94,40,6.91,scattered clouds
100,Unidos,PH,8.5942,123.668,76.62,89,99,8.3,overcast clouds
101,Vila Velha,BR,-20.3297,-40.2925,77.95,89,75,1.99,broken clouds
102,Laktasi,BA,44.9081,17.3008,35.46,75,0,5.75,clear sky
103,Barrow,US,71.2906,-156.7887,-23.78,76,0,0.0,haze
104,Cockburn Town,TC,21.4612,-71.1419,75.42,76,4,23.24,clear sky
105,Molo,KE,-0.2479,35.7374,52.54,86,100,3.71,overcast clouds
106,Avarua,CK,-21.2078,-159.775,80.65,83,75,14.97,broken clouds
107,Bassar,TG,9.25,0.7833,89.6,12,3,1.88,clear sky
108,Tucuman,AR,-26.8241,-65.2226,82.4,65,75,10.36,broken clouds
109,Tura,IN,25.5198,90.2201,61.5,54,35,5.41,scattered clouds
110,Acari,PE,-15.4311,-74.6158,82.74,52,40,12.66,scattered clouds
111,Mahebourg,MU,-20.4081,57.7,80.89,89,75,25.32,broken clouds
112,Cabo San Lucas,MX,22.8909,-109.9124,73.71,56,20,6.91,few clouds
113,Avera,US,33.194,-82.5271,74.71,59,100,17.4,overcast clouds
114,Sitka,US,57.0531,-135.33,37.29,93,100,6.91,mist
115,Wawa,NG,9.9022,4.4192,84.94,17,7,3.91,clear sky
116,Kinarut,MY,5.8231,116.0466,77.02,94,20,4.61,few clouds
117,Kourou,GF,5.1552,-52.6478,78.85,83,46,9.86,moderate rain
118,Abha,SA,18.2164,42.5053,58.82,88,0,4.61,clear sky
119,Rio Grande,BR,-32.035,-52.0986,93.31,61,4,12.19,clear sky
120,Shimoda,JP,34.6667,138.95,37.11,58,99,7.67,overcast clouds
121,Ponta Do Sol,PT,32.6667,-17.1,68.0,73,82,7.49,broken clouds
122,Port Augusta,AU,-32.5,137.7667,60.94,59,0,8.81,clear sky
123,Goundam,ML,16.4145,-3.6708,79.86,7,73,9.4,broken clouds
124,Nikolskoye,RU,59.7035,30.7861,6.69,100,88,1.57,overcast clouds
125,Iqaluit,CA,63.7506,-68.5145,-9.31,63,100,8.99,light snow
126,Esperance,AU,-33.8667,121.9,62.44,76,1,18.12,clear sky
127,Bay Roberts,CA,47.5999,-53.2648,36.14,74,93,13.0,overcast clouds
128,Kuruman,ZA,-27.4524,23.4325,72.0,61,45,11.39,scattered clouds
129,Hrymayliv,UA,49.3321,26.0111,17.73,97,37,5.84,scattered clouds
130,La Palma,US,33.8464,-118.0467,65.91,23,0,4.0,clear sky
131,Dzaoudzi,YT,-12.7887,45.2699,84.09,79,20,4.61,few clouds
132,Carnarvon,AU,-24.8667,113.6333,80.67,78,1,8.05,clear sky
133,Troitsko-Pechorsk,RU,62.7084,56.1964,12.52,98,100,3.56,overcast clouds
134,Puerto Ayora,EC,-0.7393,-90.3518,82.36,85,10,5.99,clear sky
135,Jacareacanga,BR,-6.2222,-57.7528,90.34,51,97,3.78,overcast clouds
136,Upernavik,GL,72.7868,-56.1549,-4.22,66,100,4.9,overcast clouds
137,Cidreira,BR,-30.1811,-50.2056,81.23,72,14,16.04,few clouds
138,Orlik,RU,52.5178,99.825,-14.4,93,97,2.15,overcast clouds
139,Kahului,US,20.8947,-156.47,73.85,76,20,3.44,few clouds
140,Valdivia,CL,-39.8142,-73.2459,74.35,53,100,5.3,overcast clouds
141,Igarka,RU,67.4667,86.5833,-15.45,99,47,7.34,scattered clouds
142,Vakhtan,RU,57.9659,46.6889,3.34,100,96,2.28,overcast clouds
143,Lorengau,PG,-2.0226,147.2712,79.18,78,100,5.68,light rain
144,Arkadelphia,US,34.1209,-93.0538,31.59,93,100,12.66,light snow
145,Imbituba,BR,-28.24,-48.6703,85.89,67,16,21.52,few clouds
